#Asplund, Grevesse, Sauval, Scott 2009 #full reference
#X,Y,Z mass fractions
X = 0.7314
Y = 0.2485
Z = 0.0134
#Abundancelist
Z	Element	Photosphere	Meteorites
1        H1       12.00      8.22
2        He4      10.93      1.29
3        Li7      1.05       3.26
4        Be9      1.38       1.30
5        B11      2.70       2.79
6        C12      8.43       7.39
7        N14      7.83       6.26
8        O16      8.69       8.40
9        F19      4.56       4.42
10       Ne20     7.93       -1.12
11       Na23     6.24       6.27
12       Mg24     7.60       7.53
13       Al27     6.45       6.43
14       Si28     7.51       7.51
15       P31      5.41       5.43
16       S32      7.12       7.15
17       Cl35     5.50       5.23
18       Ar36     6.40       -0.50
19       K39      5.03       5.08
20       Ca40     6.34       6.29
21       Sc45     3.15       3.05
22       Ti48     4.95       4.91
23       V51      3.93       3.96
24       Cr52     5.64       5.64
25       Mn55     5.43       5.48
26       Fe56     7.50       7.45
27       Co59     4.99       4.87
28       Ni58     6.22       6.20
29       Cu63     4.19       4.25
30       Zn64     4.56       4.63
