#Asplund 2009
Z	Element	Photosphere	Meteorites
1	H	12.00	8.22
2	He	10.93	1.29
3	Li	1.05	3.26
4	Be	1.38	1.30
5	B	2.70	2.79
6	C	8.43	7.39
7	N	7.83	6.26
8	O	8.69	8.40
9	F	4.56	4.42
10	Ne	7.93	-1.12
11	Na	6.24	6.27
12	Mg	7.60	7.53
13	Al	6.45	6.43
14	Si	7.51	7.51
15	P	5.41	5.43
16	S	7.12	7.15
17	Cl	5.50	5.23
18	Ar	6.40	-0.50
19	K	5.03	5.08
20	Ca	6.34	6.29
21	Sc	3.15	3.05
22	Ti	4.95	4.91
23	V	3.93	3.96
24	Cr	5.64	5.64
25	Mn	5.43	5.48
26	Fe	7.50	7.45
27	Co	4.99	4.87
28	Ni	6.22	6.20
29	Cu	4.19	4.25
30	Zn	4.56	4.63
